hors,real,reglin,redneu,deep
1,0.521,0.31584363,0.44166352,0.2876894
2,0.351,0.31373834,0.43965793,0.28733653
3,0.536,0.29788307,0.42452735,0.28382248
4,0.617,0.27390181,0.40164367,0.278556
5,0.566,0.24567614,0.37471337,0.27247322
6,0.411,0.21921996,0.34947685,0.2669514
7,0.291,0.19792746,0.32916999,0.26263934
8,0.291,0.18657647,0.3183582,0.26079124
9,0.391,0.18822942,0.3199698,0.26227742
10,0.446,0.2050038,0.33602315,0.2674305
11,0.496,0.23030357,0.36020803,0.27445564
12,0.276,0.25460694,0.38342907,0.2807752
13,0.075,0.27190945,0.3999558,0.28510275
14,0.18,0.28449505,0.4119809,0.28837508
15,0.211,0.29982219,0.42663811,0.2927746
16,0.296,0.3213595,0.44724127,0.2991931
17,0.291,0.34805913,0.47277268,0.306817
18,0.296,0.37414959,0.49770593,0.31375518
19,0.376,0.39352221,0.51620139,0.31832057
20,0.401,0.39501291,0.51760316,0.31797013
21,0.371,0.36567323,0.48954597,0.30955103
22,0.286,0.30061438,0.42734817,0.29144642
23,0.175,0.22675962,0.35669561,0.26939908
24,0.546,0.17655317,0.30857801,0.25152948
25,0.07,0.16511721,0.29759746,0.24679148
26,0.135,0.1768225,0.3088601,0.25241008
27,0.165,0.19569916,0.32699567,0.2605782
28,0.236,0.20689677,0.33776647,0.265843
29,0.306,0.20957861,0.34037593,0.26808086
30,0.336,0.20585946,0.33683956,0.2676657
31,0.296,0.19913214,0.33039185,0.26527187
32,0.236,0.19665195,0.3279936,0.26369336
33,0.201,0.20281881,0.33389419,0.26557082
34,0.291,0.22339746,0.35361293,0.27277327
35,0.321,0.25507927,0.38392379,0.28222504
36,0.291,0.29134417,0.41855619,0.29117727
37,0.326,0.32699462,0.45254504,0.29802597
38,0.486,0.35994007,0.48394007,0.30386725
39,0.451,0.38537277,0.5081844,0.308655
40,0.576,0.3978298,0.52007485,0.31150702
41,0.667,0.40271588,0.52475365,0.3131152
42,0.712,0.41057239,0.53226439,0.3152927
43,0.787,0.42598089,0.54696692,0.31865206
44,0.827,0.43349092,0.55411477,0.31969678
45,0.847,0.4116097,0.53319129,0.3134599
46,0.672,0.34826877,0.47267314,0.29705384
47,0.511,0.26725435,0.39527959,0.27641323
48,0.105,0.20170106,0.33268359,0.2606102
