hors,real,reglin,redneu,deep
1,0.521,0.33775529,,
2,0.351,0.33565381,,
3,0.536,0.31981813,,
4,0.617,0.29586702,,
5,0.566,0.26767805,,
6,0.411,0.24125821,,
7,0.291,0.21999638,,
8,0.291,0.20866654,,
9,0.391,0.21032943,,
10,0.446,0.22709908,,
11,0.496,0.25238211,,
12,0.276,0.27666543,,
13,0.075,0.29395184,,
14,0.18,0.30652705,,
15,0.211,0.32184598,,
16,0.296,0.34337427,,
17,0.291,0.37005918,,
18,0.296,0.39612976,,
19,0.376,0.41548135,,
20,0.401,0.41696293,,
21,0.371,0.387639,,
22,0.286,0.32262112,,
23,0.175,0.24879686,,
24,0.546,0.19858034,,
25,0.07,0.18713495,,
26,0.135,0.19885812,,
27,0.165,0.21775407,,
28,0.236,0.2289676,,
29,0.306,0.2316637,,
30,0.336,0.22795363,,
31,0.296,0.22122486,,
32,0.236,0.21873674,,
33,0.201,0.22490144,,
34,0.291,0.24548291,,
35,0.321,0.27715258,,
36,0.291,0.31338145,,
37,0.326,0.3489766,,
38,0.486,0.38186573,,
39,0.451,0.40725794,,
40,0.576,0.41970055,,
41,0.667,0.42458622,,
42,0.712,0.43243768,,
43,0.787,0.44782655,,
44,0.827,0.45532068,,
45,0.847,0.43345165,,
46,0.672,0.37016366,,
47,0.511,0.2892206,,
48,0.105,0.22373467,,
