"hors","ws","wd","anno","mes","dia","horsObs","wp1"
10,3.23,90.19,2009,7,1,0,0.025
18,3.28,72.75,2009,7,1,0,0.005
21,2.98,97.73,2009,7,1,0,0
45,3.96,129.13,2009,7,1,0,0.08
2,3.2,103.36,2009,7,1,12,0.02
6,2.88,90.73,2009,7,1,12,0.005
9,1.67,114.58,2009,7,1,12,0.01
20,1.02,159.1,2009,7,1,12,0
26,1.19,211.12,2009,7,1,12,0
1,1.27,147.93,2009,7,2,0,0
13,1.51,191.55,2009,7,2,0,0
32,3.33,108.24,2009,7,2,0,0.055
34,4.3,105.46,2009,7,2,0,0.04
37,5.42,111.06,2009,7,2,0,0.13
1,2.22,169.75,2009,7,2,12,0
4,2.57,157.24,2009,7,2,12,0
10,3.85,134.69,2009,7,2,12,0.03
20,3.69,99.91,2009,7,2,12,0.055
34,6.94,114.17,2009,7,2,12,0.476
35,6.52,116.35,2009,7,2,12,0.476
34,3.8,125.17,2009,7,3,0,0.135
44,6.55,136.99,2009,7,3,0,0.226
1,4.74,128.18,2009,7,3,12,0.12
29,6.37,128.83,2009,7,3,12,0.266
44,3.6,95.72,2009,7,3,12,0.206
17,6.34,134.02,2009,7,4,0,0.266
20,6.87,130.4,2009,7,4,0,0.226
31,3.39,69.89,2009,7,4,0,0.281
36,4.18,107.07,2009,7,4,0,0.165
37,4.45,114.81,2009,7,4,0,0.025
43,6.01,129.85,2009,7,4,0,0.02
45,5.39,127.81,2009,7,4,0,0.07
10,5.1,124.22,2009,7,4,12,0.135
16,3.62,104.51,2009,7,4,12,0.221
19,3.62,96.38,2009,7,4,12,0.281
24,3.29,73.44,2009,7,4,12,0.165
30,3.85,97.96,2009,7,4,12,0.03
46,2.12,50.42,2009,7,4,12,0.04
47,1.25,70.03,2009,7,4,12,0.04
17,3.82,118.78,2009,7,5,0,0.035
20,4.53,110.89,2009,7,5,0,0.045
23,3.31,106.88,2009,7,5,0,0.065
26,2.79,96.81,2009,7,5,0,0.035
39,3.4,117.41,2009,7,5,0,0.055
45,6.58,118.95,2009,7,5,0,0.075
5,4.09,109.68,2009,7,5,12,0.14
16,3,108.47,2009,7,5,12,0.115
25,2.75,104.88,2009,7,5,12,0.125
47,4.64,102.73,2009,7,5,12,0.231
5,2.77,134.25,2009,7,6,0,0.06
9,2.94,79.63,2009,7,6,0,0
20,7.08,103.03,2009,7,6,0,0.16
39,5.67,114.88,2009,7,6,0,0.306
4,6.1,109.15,2009,7,6,12,0.115
9,6.3,103.77,2009,7,6,12,0
33,6.78,106.35,2009,7,6,12,0.426
37,4.15,101.92,2009,7,6,12,0.271
47,3.76,128.93,2009,7,6,12,0.045
5,2.17,108.21,2009,7,7,0,0.03
8,3.76,97.82,2009,7,7,0,0.105
14,5.73,117.07,2009,7,7,0,0.246
16,5.96,117.93,2009,7,7,0,0.306
17,6.1,113.56,2009,7,7,0,0.306
23,5.97,111.27,2009,7,7,0,0.346
43,3.92,154.31,2009,7,7,0,0.055
4,6.91,115.21,2009,7,7,12,0
11,6.39,110.44,2009,7,7,12,0.231
12,5.66,106.88,2009,7,7,12,0.306
23,3.22,115.48,2009,7,7,12,0.045
27,4.09,160.06,2009,7,7,12,0.08
3,4.8,99.83,2009,7,8,0,0.226
29,2.49,150.99,2009,7,8,0,0.135
32,2.01,151.88,2009,7,8,0,0.005
12,2.52,202.81,2009,7,8,12,0.045
14,2.69,186.95,2009,7,8,12,0.045
17,2.23,165.86,2009,7,8,12,0.135
25,2.28,261.44,2009,7,8,12,0
34,3.11,315.96,2009,7,8,12,0.085
48,3.69,335.4,2009,7,8,12,0.11
3,2.5,177.71,2009,7,9,0,0.065
14,2.11,291.96,2009,7,9,0,0
16,2.75,289.24,2009,7,9,0,0
33,3.11,330.58,2009,7,9,0,0.1
41,4.29,6.43,2009,7,9,0,0.266
1,2.04,291.53,2009,7,9,12,0.03
6,3.34,301.27,2009,7,9,12,0.185
9,4.21,316.81,2009,7,9,12,0
16,3.3,337.41,2009,7,9,12,0.16
21,2.93,348.24,2009,7,9,12,0.1
29,5.35,8.29,2009,7,9,12,0.266
1,3.2,331.68,2009,7,10,0,0.095
10,3.19,341.41,2009,7,10,0,0.095
15,3.67,358.51,2009,7,10,0,0.04
16,4.08,10.61,2009,7,10,0,0.165
29,3.47,39.7,2009,7,10,0,0.481
32,4.21,48.08,2009,7,10,0,0.476
2,3.26,357.26,2009,7,10,12,0.095
8,5.85,33.89,2009,7,10,12,0.09
47,3.84,82.74,2009,7,10,12,0.496
48,4.36,77.21,2009,7,10,12,0.276
3,3.4,20.44,2009,7,11,0,0.381
7,3.67,38.12,2009,7,11,0,0.466
10,4.25,62.94,2009,7,11,0,0.421
26,4.68,135.93,2009,7,11,0,0.351
42,6.59,96.33,2009,7,11,0,0.296
9,7.51,113.19,2009,7,11,12,0.501
38,2.54,125.69,2009,7,11,12,0.135
46,3.74,109.5,2009,7,11,12,0.291
23,3.91,120.86,2009,7,12,0,0.175
48,3.35,127.31,2009,7,12,0,0.105
1,5.2,113.73,2009,7,12,12,0.521
11,4.23,119.23,2009,7,12,12,0.496
14,3.19,125.21,2009,7,12,12,0.135
25,6.32,96.11,2009,7,12,12,0.326
32,9.24,124.12,2009,7,12,12,0.827
34,7.02,126.58,2009,7,12,12,0.672
3,3.04,126.78,2009,7,13,0,0.165
4,3.09,120.74,2009,7,13,0,0.236
9,3.24,107.79,2009,7,13,0,0.201
16,7.26,116.4,2009,7,13,0,0.576
24,4.07,116.39,2009,7,13,0,0.105
30,2.84,110.7,2009,7,13,0,0.416
42,5.89,139.83,2009,7,13,0,0.276
10,7.28,122.68,2009,7,13,12,0.291
24,3.8,141.54,2009,7,13,12,0.211
39,1.08,94.54,2009,7,13,12,0.04
47,4,20.26,2009,7,13,12,0.12
17,5.65,133.82,2009,7,14,0,0.211
22,4.09,122.48,2009,7,14,0,0.231
26,2.04,94.62,2009,7,14,0,0.065
30,3.65,54.99,2009,7,14,0,0.08
43,4.77,350.79,2009,7,14,0,0.201
9,4.7,126.07,2009,7,14,12,0.221
11,2.93,127.56,2009,7,14,12,0.316
19,3.13,55.4,2009,7,14,12,0.04
22,3.74,50.78,2009,7,14,12,0.115
24,3.59,32.28,2009,7,14,12,0.1
37,4.17,14.11,2009,7,14,12,0.366
40,3.21,47.81,2009,7,14,12,0.406
2,3.46,104.61,2009,7,15,0,0.065
6,3,61.11,2009,7,15,0,0.08
12,3.65,34.67,2009,7,15,0,0.1
13,3.74,23.59,2009,7,15,0,0.09
29,3.54,75.62,2009,7,15,0,0.356
41,4.3,107.18,2009,7,15,0,0.165
35,2.72,103.51,2009,7,15,12,0.391
7,3.76,69.88,2009,7,16,0,0.326
24,2.26,120.73,2009,7,16,0,0.331
25,1.67,152.86,2009,7,16,0,0.15
34,1.84,349.38,2009,7,16,0,0
39,5.59,53.91,2009,7,16,0,0.045
2,5.43,121.47,2009,7,16,12,0.366
17,1.85,190.57,2009,7,16,12,0.135
21,1.73,350.72,2009,7,16,12,0
42,2.17,124.67,2009,7,16,12,0.1
45,3.14,112.46,2009,7,16,12,0.1
48,5.03,100.31,2009,7,16,12,0.075
5,2.06,174.19,2009,7,17,0,0.135
