,hors,ws,wd,anno,mes,dia,horsObs,wp1
0,1,2.47,108.68,2009,7,1,0,0.085
1,2,2.4,114.31,2009,7,1,0,0.02
2,3,2.51,118.71,2009,7,1,0,0.06
3,4,2.73,120.86,2009,7,1,0,0.045
4,5,2.93,120.13,2009,7,1,0,0.035
5,6,2.96,115.79,2009,7,1,0,0.005
6,7,2.81,106.71,2009,7,1,0,0.0
7,8,2.73,95.39,2009,7,1,0,0.0
8,9,2.87,88.5,2009,7,1,0,0.01
9,10,3.23,90.19,2009,7,1,0,0.025
10,11,3.66,95.15,2009,7,1,0,0.03
11,12,3.94,98.71,2009,7,1,0,0.01
12,13,3.86,98.85,2009,7,1,0,0.0
13,14,3.56,95.62,2009,7,1,0,0.01
14,15,3.26,89.11,2009,7,1,0,0.0
15,16,3.15,80.78,2009,7,1,0,0.0
16,17,3.21,74.33,2009,7,1,0,0.0
17,18,3.28,72.75,2009,7,1,0,0.005
18,19,3.27,77.29,2009,7,1,0,0.0
19,20,3.18,86.2,2009,7,1,0,0.0
20,21,2.98,97.73,2009,7,1,0,0.0
21,22,2.66,111.41,2009,7,1,0,0.005
22,23,2.32,127.38,2009,7,1,0,0.015
24,25,1.76,157.32,2009,7,1,0,0.0
25,26,1.5,169.2,2009,7,1,0,0.01
26,27,1.33,179.91,2009,7,1,0,0.01
27,28,1.3,186.97,2009,7,1,0,0.0
28,29,1.32,187.54,2009,7,1,0,0.0
29,30,1.28,180.49,2009,7,1,0,0.0
30,31,1.19,164.38,2009,7,1,0,0.0
31,32,1.18,147.5,2009,7,1,0,0.0
32,33,1.21,144.2,2009,7,1,0,0.015
33,34,1.24,161.65,2009,7,1,0,0.03
34,35,1.47,184.24,2009,7,1,0,0.01
35,36,1.75,196.78,2009,7,1,0,0.0
36,37,1.76,198.89,2009,7,1,0,0.0
37,38,1.52,191.96,2009,7,1,0,0.0
38,39,1.25,171.43,2009,7,1,0,0.0
39,40,1.32,139.82,2009,7,1,0,0.01
40,41,1.83,120.33,2009,7,1,0,0.01
41,42,2.51,115.88,2009,7,1,0,0.01
42,43,3.19,119.47,2009,7,1,0,0.01
43,44,3.74,124.77,2009,7,1,0,0.01
44,45,3.96,129.13,2009,7,1,0,0.08
45,46,3.69,131.85,2009,7,1,0,0.025
46,47,3.17,133.5,2009,7,1,0,0.08
48,1,2.85,103.17,2009,7,1,12,0.085
49,2,3.2,103.36,2009,7,1,12,0.02
50,3,3.35,100.63,2009,7,1,12,0.06
51,4,3.33,96.42,2009,7,1,12,0.045
52,5,3.17,92.38,2009,7,1,12,0.035
53,6,2.88,90.73,2009,7,1,12,0.005
54,7,2.46,94.09,2009,7,1,12,0.0
55,8,2.01,102.78,2009,7,1,12,0.0
56,9,1.67,114.58,2009,7,1,12,0.01
57,10,1.44,124.63,2009,7,1,12,0.025
58,11,1.22,135.16,2009,7,1,12,0.03
59,12,1.04,155.24,2009,7,1,12,0.01
60,13,1.13,187.75,2009,7,1,12,0.0
61,14,1.46,209.04,2009,7,1,12,0.01
62,15,1.59,217.3,2009,7,1,12,0.01
63,16,1.27,216.69,2009,7,1,12,0.0
64,17,0.74,201.76,2009,7,1,12,0.0
65,18,0.56,159.25,2009,7,1,12,0.0
66,19,0.79,147.2,2009,7,1,12,0.0
67,20,1.02,159.1,2009,7,1,12,0.0
68,21,1.17,179.14,2009,7,1,12,0.015
69,22,1.27,206.32,2009,7,1,12,0.03
70,23,1.49,229.38,2009,7,1,12,0.01
71,24,1.63,238.87,2009,7,1,12,0.0
72,25,1.46,232.75,2009,7,1,12,0.0
73,26,1.19,211.12,2009,7,1,12,0.0
74,27,1.14,182.49,2009,7,1,12,0.0
75,28,1.21,164.07,2009,7,1,12,0.01
76,29,1.32,151.25,2009,7,1,12,0.01
77,30,1.65,139.98,2009,7,1,12,0.01
78,31,2.3,132.08,2009,7,1,12,0.01
79,32,3.04,129.21,2009,7,1,12,0.01
80,33,3.5,130.26,2009,7,1,12,0.08
81,34,3.48,135.0,2009,7,1,12,0.025
82,35,3.18,141.23,2009,7,1,12,0.08
84,37,2.5,138.64,2009,7,1,12,0.12
85,38,2.38,125.31,2009,7,1,12,0.035
86,39,2.45,111.98,2009,7,1,12,0.05
87,40,2.54,103.99,2009,7,1,12,0.08
88,41,2.54,100.17,2009,7,1,12,0.065
89,42,2.45,98.76,2009,7,1,12,0.14
90,43,2.3,98.6,2009,7,1,12,0.08
91,44,2.32,99.0,2009,7,1,12,0.055
92,45,2.74,99.14,2009,7,1,12,0.025
93,46,3.7,98.82,2009,7,1,12,0.04
94,47,4.84,98.94,2009,7,1,12,0.1
95,48,5.7,99.9,2009,7,1,12,0.175
96,1,1.27,147.93,2009,7,2,0,0.0
97,2,1.59,163.36,2009,7,2,0,0.01
98,3,1.46,175.48,2009,7,2,0,0.01
99,4,1.1,194.13,2009,7,2,0,0.0
100,5,0.81,223.94,2009,7,2,0,0.0
101,6,0.68,246.61,2009,7,2,0,0.0
