,date,hors,ws,wd,anno,mes,dia,horsObs,wp1
0,20090701,1,2.47,108.68,2009,7,1,0,0.085
1,20090701,2,2.4,114.31,2009,7,1,0,0.02
2,20090701,3,2.51,118.71,2009,7,1,0,0.06
3,20090701,4,2.73,120.86,2009,7,1,0,0.045
4,20090701,5,2.93,120.13,2009,7,1,0,0.035
5,20090701,6,2.96,115.79,2009,7,1,0,0.005
6,20090701,7,2.81,106.71,2009,7,1,0,0.0
7,20090701,8,2.73,95.39,2009,7,1,0,0.0
8,20090701,9,2.87,88.5,2009,7,1,0,0.01
9,20090701,10,3.23,90.19,2009,7,1,0,0.025
10,20090701,11,3.66,95.15,2009,7,1,0,0.03
11,20090701,12,3.94,98.71,2009,7,1,0,0.01
12,20090701,13,3.86,98.85,2009,7,1,0,0.0
13,20090701,14,3.56,95.62,2009,7,1,0,0.01
14,20090701,15,3.26,89.11,2009,7,1,0,0.0
15,20090701,16,3.15,80.78,2009,7,1,0,0.0
16,20090701,17,3.21,74.33,2009,7,1,0,0.0
17,20090701,18,3.28,72.75,2009,7,1,0,0.005
18,20090701,19,3.27,77.29,2009,7,1,0,0.0
19,20090701,20,3.18,86.2,2009,7,1,0,0.0
20,20090701,21,2.98,97.73,2009,7,1,0,0.0
21,20090701,22,2.66,111.41,2009,7,1,0,0.005
22,20090701,23,2.32,127.38,2009,7,1,0,0.015
24,20090701,25,1.76,157.32,2009,7,1,0,0.0
25,20090701,26,1.5,169.2,2009,7,1,0,0.01
26,20090701,27,1.33,179.91,2009,7,1,0,0.01
27,20090701,28,1.3,186.97,2009,7,1,0,0.0
28,20090701,29,1.32,187.54,2009,7,1,0,0.0
29,20090701,30,1.28,180.49,2009,7,1,0,0.0
30,20090701,31,1.19,164.38,2009,7,1,0,0.0
31,20090701,32,1.18,147.5,2009,7,1,0,0.0
32,20090701,33,1.21,144.2,2009,7,1,0,0.015
33,20090701,34,1.24,161.65,2009,7,1,0,0.03
34,20090701,35,1.47,184.24,2009,7,1,0,0.01
35,20090701,36,1.75,196.78,2009,7,1,0,0.0
36,20090701,37,1.76,198.89,2009,7,1,0,0.0
37,20090701,38,1.52,191.96,2009,7,1,0,0.0
38,20090701,39,1.25,171.43,2009,7,1,0,0.0
39,20090701,40,1.32,139.82,2009,7,1,0,0.01
40,20090701,41,1.83,120.33,2009,7,1,0,0.01
41,20090701,42,2.51,115.88,2009,7,1,0,0.01
42,20090701,43,3.19,119.47,2009,7,1,0,0.01
43,20090701,44,3.74,124.77,2009,7,1,0,0.01
44,20090701,45,3.96,129.13,2009,7,1,0,0.08
45,20090701,46,3.69,131.85,2009,7,1,0,0.025
46,20090701,47,3.17,133.5,2009,7,1,0,0.08
48,20090701,1,2.85,103.17,2009,7,1,12,0.085
49,20090701,2,3.2,103.36,2009,7,1,12,0.02
50,20090701,3,3.35,100.63,2009,7,1,12,0.06
51,20090701,4,3.33,96.42,2009,7,1,12,0.045
52,20090701,5,3.17,92.38,2009,7,1,12,0.035
53,20090701,6,2.88,90.73,2009,7,1,12,0.005
54,20090701,7,2.46,94.09,2009,7,1,12,0.0
55,20090701,8,2.01,102.78,2009,7,1,12,0.0
56,20090701,9,1.67,114.58,2009,7,1,12,0.01
57,20090701,10,1.44,124.63,2009,7,1,12,0.025
58,20090701,11,1.22,135.16,2009,7,1,12,0.03
59,20090701,12,1.04,155.24,2009,7,1,12,0.01
60,20090701,13,1.13,187.75,2009,7,1,12,0.0
61,20090701,14,1.46,209.04,2009,7,1,12,0.01
62,20090701,15,1.59,217.3,2009,7,1,12,0.01
63,20090701,16,1.27,216.69,2009,7,1,12,0.0
64,20090701,17,0.74,201.76,2009,7,1,12,0.0
65,20090701,18,0.56,159.25,2009,7,1,12,0.0
66,20090701,19,0.79,147.2,2009,7,1,12,0.0
67,20090701,20,1.02,159.1,2009,7,1,12,0.0
68,20090701,21,1.17,179.14,2009,7,1,12,0.015
69,20090701,22,1.27,206.32,2009,7,1,12,0.03
70,20090701,23,1.49,229.38,2009,7,1,12,0.01
71,20090701,24,1.63,238.87,2009,7,1,12,0.0
72,20090701,25,1.46,232.75,2009,7,1,12,0.0
73,20090701,26,1.19,211.12,2009,7,1,12,0.0
74,20090701,27,1.14,182.49,2009,7,1,12,0.0
75,20090701,28,1.21,164.07,2009,7,1,12,0.01
76,20090701,29,1.32,151.25,2009,7,1,12,0.01
77,20090701,30,1.65,139.98,2009,7,1,12,0.01
78,20090701,31,2.3,132.08,2009,7,1,12,0.01
79,20090701,32,3.04,129.21,2009,7,1,12,0.01
80,20090701,33,3.5,130.26,2009,7,1,12,0.08
81,20090701,34,3.48,135.0,2009,7,1,12,0.025
