,date,hors,ws,wd,horsObs,wp1
3753,20090809,10,1.78,30.74,0,0.055
3754,20090809,11,2.37,34.08,0,0.03
3755,20090809,12,3.05,40.15,0,0.06
3756,20090809,13,3.76,50.33,0,0.13
3757,20090809,14,4.56,59.86,0,0.155
3758,20090809,15,5.41,65.66,0,0.201
3759,20090809,16,6.12,67.43,0,0.11
3760,20090809,17,6.61,67.79,0,0.35600000000000004
3761,20090809,18,6.8,68.99,0,0.627
3762,20090809,19,6.69,72.38,0,0.511
3763,20090809,20,6.4,76.8,0,0.586
3764,20090809,21,6.04,80.11,0,0.366
3765,20090809,22,5.66,80.25,0,0.12
3766,20090809,23,5.31,78.22,0,0.125
3768,20090809,25,4.89,77.08,0,0.211
3769,20090809,26,4.72,80.12,0,0.07
3770,20090809,27,4.4,84.86,0,0.115
3771,20090809,28,3.88,91.22,0,0.211
3772,20090809,29,3.35,98.71,0,0.29100000000000004
3773,20090809,30,3.02,104.49,0,0.251
3774,20090809,31,2.99,104.63,0,0.206
3775,20090809,32,3.17,101.51,0,0.251
3776,20090809,33,3.44,99.54,0,0.1
3777,20090809,34,3.67,100.87,0,0.1
3778,20090809,35,3.78,103.77,0,0.195
3779,20090809,36,3.74,106.25,0,0.175
3780,20090809,37,3.51,106.75,0,0.045
3781,20090809,38,3.24,104.36,0,0.065
3782,20090809,39,3.12,98.41,0,0.07
3783,20090809,40,3.33,90.57,0,0.09
3784,20090809,41,3.7,84.95,0,0.12
3785,20090809,42,3.95,83.31,0,0.13
3786,20090809,43,3.86,86.16,0,0.15
3787,20090809,44,3.59,92.83,0,0.211
3788,20090809,45,3.4,101.81,0,0.01
3789,20090809,46,3.37,109.74,0,0.03
3794,20090809,3,5.98,78.93,12,0.246
3795,20090809,4,5.71,77.66,12,0.21600000000000005
3796,20090809,5,5.34,76.09,12,0.13
3797,20090809,6,5.26,75.8,12,0.1
3798,20090809,7,5.68,77.71,12,0.11
3799,20090809,8,6.3,79.68,12,0.055
3800,20090809,9,6.67,79.93,12,0.055
3801,20090809,10,6.48,77.65,12,0.055
3802,20090809,11,6.01,74.17,12,0.03
3803,20090809,12,5.63,72.17,12,0.06
3804,20090809,13,5.6,74.46,12,0.211
3805,20090809,14,5.77,79.4,12,0.07
3806,20090809,15,5.89,84.48,12,0.115
3807,20090809,16,5.71,88.51,12,0.211
3808,20090809,17,5.3,91.54,12,0.29100000000000004
3809,20090809,18,4.81,93.32,12,0.251
3810,20090809,19,4.38,93.39,12,0.206
3811,20090809,20,4.07,92.73,12,0.251
3812,20090809,21,3.94,93.24,12,0.1
3813,20090809,22,3.98,96.29,12,0.1
3814,20090809,23,4.0,100.79,12,0.195
3815,20090809,24,3.72,106.02,12,0.175
3816,20090809,25,2.98,112.72,12,0.045
3817,20090809,26,2.15,120.42,12,0.065
3819,20090809,28,1.78,101.4,12,0.09
3820,20090809,29,2.52,87.61,12,0.12
3821,20090809,30,3.22,84.28,12,0.13
3822,20090809,31,3.38,87.69,12,0.15
3823,20090809,32,3.12,95.46,12,0.211
3824,20090809,33,2.68,106.3,12,0.01
3825,20090809,34,2.2,118.21,12,0.03
3826,20090809,35,1.77,129.94,12,0.045
3835,20090809,44,2.03,153.74,12,0.13
3836,20090809,45,2.54,157.7,12,0.055
3837,20090809,46,2.96,152.98,12,0.05
3842,20090810,3,5.86,84.23,0,0.115
3843,20090810,4,5.49,85.89,0,0.211
3844,20090810,5,5.06,87.46,0,0.29100000000000004
3845,20090810,6,4.68,89.25,0,0.251
3846,20090810,7,4.42,91.49,0,0.206
3847,20090810,8,4.28,94.22,0,0.251
3848,20090810,9,4.26,97.37,0,0.1
3849,20090810,10,4.33,100.66,0,0.1
3850,20090810,11,4.37,103.3,0,0.195
3851,20090810,12,4.26,104.64,0,0.175
3852,20090810,13,3.91,104.28,0,0.045
3853,20090810,14,3.52,102.85,0,0.065
3854,20090810,15,3.35,101.83,0,0.07
3855,20090810,16,3.57,102.64,0,0.09
3856,20090810,17,3.9,104.08,0,0.12
3857,20090810,18,3.98,104.92,0,0.13
3858,20090810,19,3.57,104.73,0,0.15
3859,20090810,20,2.9,104.9,0,0.211
3860,20090810,21,2.35,108.66,0,0.01
3861,20090810,22,2.25,118.29,0,0.03
3862,20090810,23,2.46,127.64,0,0.045
3864,20090810,25,2.49,134.71,0,0.07
3865,20090810,26,2.13,133.39,0,0.06
3866,20090810,27,1.81,128.4,0,0.105
3867,20090810,28,1.69,120.74,0,0.09
3868,20090810,29,1.73,114.93,0,0.17
3869,20090810,30,1.8,114.19,0,0.13
3870,20090810,31,1.82,118.92,0,0.11
3871,20090810,32,1.85,124.31,0,0.13
3872,20090810,33,1.96,124.04,0,0.055
3873,20090810,34,2.22,116.17,0,0.05
3874,20090810,35,2.64,109.4,0,0.04
3875,20090810,36,3.1,109.71,0,0.02
3876,20090810,37,3.51,117.56,0,0.03
3877,20090810,38,3.93,126.36,0,0.0
3878,20090810,39,4.24,130.73,0,0.0
3879,20090810,40,4.29,128.59,0,0.0
3880,20090810,41,4.27,123.78,0,0.01
3881,20090810,42,4.4,121.89,0,0.06
3882,20090810,43,4.76,126.37,0,0.065
3883,20090810,44,5.12,133.27,0,0.065
3884,20090810,45,5.07,139.51,0,0.065
3885,20090810,46,4.31,144.57,0,0.025
3890,20090810,3,4.37,99.72,12,0.115
3891,20090810,4,4.26,102.33,12,0.211
3892,20090810,5,4.11,104.92,12,0.29100000000000004
3893,20090810,6,3.98,107.38,12,0.251
3894,20090810,7,3.93,109.51,12,0.206
3895,20090810,8,3.87,111.57,12,0.251
3896,20090810,9,3.7,114.18,12,0.1
3897,20090810,10,3.35,118.11,12,0.1
3898,20090810,11,2.93,122.96,12,0.195
3899,20090810,12,2.54,127.06,12,0.175
3900,20090810,13,2.26,127.62,12,0.07
3901,20090810,14,2.08,123.94,12,0.06
3902,20090810,15,2.01,117.06,12,0.105
3903,20090810,16,2.04,109.39,12,0.09
3904,20090810,17,2.12,104.03,12,0.17
3905,20090810,18,2.18,103.14,12,0.13
3906,20090810,19,2.18,107.42,12,0.11
3907,20090810,20,2.19,113.27,12,0.13
3908,20090810,21,2.26,115.55,12,0.055
3909,20090810,22,2.42,111.7,12,0.05
3910,20090810,23,2.68,107.49,12,0.04
3911,20090810,24,2.97,108.54,12,0.02
3912,20090810,25,3.29,116.35,12,0.03
3913,20090810,26,3.63,125.0,12,0.0
3914,20090810,27,3.84,129.49,12,0.0
3915,20090810,28,3.76,127.84,12,0.0
3916,20090810,29,3.53,123.7,12,0.01
3917,20090810,30,3.34,123.01,12,0.06
3918,20090810,31,3.33,130.79,12,0.065
3919,20090810,32,3.48,142.26,12,0.065
3920,20090810,33,3.57,151.75,12,0.065
3921,20090810,34,3.31,157.59,12,0.025
3922,20090810,35,2.81,160.74,12,0.02
3924,20090810,37,2.12,156.16,12,0.03
3925,20090810,38,2.13,149.2,12,0.06
3926,20090810,39,2.22,142.85,12,0.135
3927,20090810,40,2.28,138.33,12,0.12
3928,20090810,41,2.27,135.56,12,0.13
3929,20090810,42,2.16,134.53,12,0.115
3930,20090810,43,2.0,135.54,12,0.115
3931,20090810,44,1.86,138.62,12,0.11
3932,20090810,45,1.9,142.83,12,0.06
3933,20090810,46,2.17,146.66,12,0.03
3938,20090811,3,2.28,106.24,0,0.105
3939,20090811,4,2.32,99.91,0,0.09
3940,20090811,5,2.34,95.69,0,0.17
3941,20090811,6,2.31,94.76,0,0.13
3942,20090811,7,2.25,97.99,0,0.11
3943,20090811,8,2.24,103.96,0,0.13
3944,20090811,9,2.36,109.69,0,0.055
3945,20090811,10,2.64,112.63,0,0.05
3946,20090811,11,2.97,113.53,0,0.04
3947,20090811,12,3.27,113.79,0,0.02
