,hors,ws,wd,anno,mes,wp1
24,25,1.76,157.32,2009,7,0.0
25,26,1.5,169.2,2009,7,0.01
26,27,1.33,179.91,2009,7,0.01
27,28,1.3,186.97,2009,7,0.0
28,29,1.32,187.54,2009,7,0.0
29,30,1.28,180.49,2009,7,0.0
30,31,1.19,164.38,2009,7,0.0
31,32,1.18,147.5,2009,7,0.0
32,33,1.21,144.2,2009,7,0.015
33,34,1.24,161.65,2009,7,0.03
34,35,1.47,184.24,2009,7,0.01
35,36,1.75,196.78,2009,7,0.0
36,37,1.76,198.89,2009,7,0.0
37,38,1.52,191.96,2009,7,0.0
38,39,1.25,171.43,2009,7,0.0
39,40,1.32,139.82,2009,7,0.01
40,41,1.83,120.33,2009,7,0.01
41,42,2.51,115.88,2009,7,0.01
42,43,3.19,119.47,2009,7,0.01
43,44,3.74,124.77,2009,7,0.01
44,45,3.96,129.13,2009,7,0.08
45,46,3.69,131.85,2009,7,0.025
46,47,3.17,133.5,2009,7,0.08
47,48,2.69,134.12,2009,7,0.0
72,25,1.46,232.75,2009,7,0.0
73,26,1.19,211.12,2009,7,0.0
74,27,1.14,182.49,2009,7,0.0
75,28,1.21,164.07,2009,7,0.01
76,29,1.32,151.25,2009,7,0.01
77,30,1.65,139.98,2009,7,0.01
78,31,2.3,132.08,2009,7,0.01
79,32,3.04,129.21,2009,7,0.01
80,33,3.5,130.26,2009,7,0.08
81,34,3.48,135.0,2009,7,0.025
82,35,3.18,141.23,2009,7,0.08
83,36,2.81,144.5,2009,7,0.0
84,37,2.5,138.64,2009,7,0.12
85,38,2.38,125.31,2009,7,0.035
86,39,2.45,111.98,2009,7,0.05
87,40,2.54,103.99,2009,7,0.08
88,41,2.54,100.17,2009,7,0.065
89,42,2.45,98.76,2009,7,0.14
90,43,2.3,98.6,2009,7,0.08
91,44,2.32,99.0,2009,7,0.055
92,45,2.74,99.14,2009,7,0.025
93,46,3.7,98.82,2009,7,0.04
94,47,4.84,98.94,2009,7,0.1
95,48,5.7,99.9,2009,7,0.175
120,25,2.83,136.19,2009,7,0.12
121,26,2.54,128.18,2009,7,0.035
122,27,2.44,119.41,2009,7,0.05
123,28,2.49,112.37,2009,7,0.08
124,29,2.64,108.19,2009,7,0.065
125,30,2.83,106.81,2009,7,0.14
126,31,3.05,107.43,2009,7,0.08
127,32,3.33,108.24,2009,7,0.055
128,33,3.74,107.63,2009,7,0.025
129,34,4.3,105.46,2009,7,0.04
130,35,4.88,104.21,2009,7,0.1
131,36,5.28,105.79,2009,7,0.175
132,37,5.42,111.06,2009,7,0.13
133,38,5.49,117.53,2009,7,0.095
134,39,5.66,121.48,2009,7,0.095
135,40,5.95,120.41,2009,7,0.19
136,41,6.33,116.6,2009,7,0.221
137,42,6.71,112.96,2009,7,0.226
138,43,7.0,111.15,2009,7,0.301
139,44,7.14,110.75,2009,7,0.42100000000000004
140,45,7.16,111.08,2009,7,0.486
141,46,7.05,111.66,2009,7,0.47600000000000003
142,47,6.77,112.31,2009,7,0.47600000000000003
143,48,6.27,112.97,2009,7,0.201
168,25,5.34,116.04,2009,7,0.13
169,26,5.68,122.19,2009,7,0.095
170,27,6.01,126.51,2009,7,0.095
171,28,6.31,128.0,2009,7,0.19
172,29,6.54,127.02,2009,7,0.221
173,30,6.75,124.08,2009,7,0.226
174,31,6.95,119.83,2009,7,0.301
175,32,7.11,115.85,2009,7,0.42100000000000004
176,33,7.14,113.65,2009,7,0.486
177,34,6.94,114.17,2009,7,0.47600000000000003
178,35,6.52,116.35,2009,7,0.47600000000000003
179,36,5.93,118.52,2009,7,0.201
180,37,5.2,118.98,2009,7,0.47600000000000003
181,38,4.48,117.73,2009,7,0.501
182,39,3.94,115.67,2009,7,0.662
183,40,3.71,114.43,2009,7,0.747
184,41,3.64,114.52,2009,7,0.622
185,42,3.54,115.73,2009,7,0.406
186,43,3.3,118.01,2009,7,0.19
187,44,3.09,121.57,2009,7,0.11
188,45,3.13,125.78,2009,7,0.075
189,46,3.6,128.87,2009,7,0.135
190,47,4.39,129.95,2009,7,0.11
191,48,5.35,129.42,2009,7,0.201
216,25,5.45,116.57,2009,7,0.47600000000000003
217,26,4.54,115.45,2009,7,0.501
218,27,3.84,114.26,2009,7,0.662
219,28,3.5,114.39,2009,7,0.747
220,29,3.38,115.32,2009,7,0.622
221,30,3.21,115.61,2009,7,0.406
222,31,2.87,114.34,2009,7,0.19
223,32,2.62,113.85,2009,7,0.11
224,33,2.84,118.02,2009,7,0.075
225,34,3.8,125.17,2009,7,0.135
226,35,5.13,129.74,2009,7,0.11
227,36,6.26,131.48,2009,7,0.201
228,37,6.75,131.22,2009,7,0.386
229,38,6.73,130.11,2009,7,0.461
230,39,6.52,129.15,2009,7,0.451
231,40,6.35,129.29,2009,7,0.376
232,41,6.29,130.59,2009,7,0.266
233,42,6.36,132.69,2009,7,0.24100000000000002
