,hors,ws,wd,anno,mes,wp1
0,1,2.47,108.68,2009,7,0.085
1,2,2.4,114.31,2009,7,0.02
2,3,2.51,118.71,2009,7,0.06
3,4,2.73,120.86,2009,7,0.045
4,5,2.93,120.13,2009,7,0.035
5,6,2.96,115.79,2009,7,0.005
6,7,2.81,106.71,2009,7,0.0
7,8,2.73,95.39,2009,7,0.0
8,9,2.87,88.5,2009,7,0.01
9,10,3.23,90.19,2009,7,0.025
10,11,3.66,95.15,2009,7,0.03
11,12,3.94,98.71,2009,7,0.01
12,13,3.86,98.85,2009,7,0.0
13,14,3.56,95.62,2009,7,0.01
14,15,3.26,89.11,2009,7,0.0
15,16,3.15,80.78,2009,7,0.0
16,17,3.21,74.33,2009,7,0.0
17,18,3.28,72.75,2009,7,0.005
18,19,3.27,77.29,2009,7,0.0
19,20,3.18,86.2,2009,7,0.0
20,21,2.98,97.73,2009,7,0.0
21,22,2.66,111.41,2009,7,0.005
22,23,2.32,127.38,2009,7,0.015
23,24,2.04,143.67,2009,7,0.045
24,25,1.76,157.32,2009,7,0.0
25,26,1.5,169.2,2009,7,0.01
26,27,1.33,179.91,2009,7,0.01
27,28,1.3,186.97,2009,7,0.0
28,29,1.32,187.54,2009,7,0.0
29,30,1.28,180.49,2009,7,0.0
30,31,1.19,164.38,2009,7,0.0
31,32,1.18,147.5,2009,7,0.0
32,33,1.21,144.2,2009,7,0.015
33,34,1.24,161.65,2009,7,0.03
34,35,1.47,184.24,2009,7,0.01
35,36,1.75,196.78,2009,7,0.0
36,37,1.76,198.89,2009,7,0.0
37,38,1.52,191.96,2009,7,0.0
38,39,1.25,171.43,2009,7,0.0
39,40,1.32,139.82,2009,7,0.01
40,41,1.83,120.33,2009,7,0.01
41,42,2.51,115.88,2009,7,0.01
42,43,3.19,119.47,2009,7,0.01
43,44,3.74,124.77,2009,7,0.01
44,45,3.96,129.13,2009,7,0.08
45,46,3.69,131.85,2009,7,0.025
46,47,3.17,133.5,2009,7,0.08
47,48,2.69,134.12,2009,7,0.0
48,1,2.85,103.17,2009,7,0.085
49,2,3.2,103.36,2009,7,0.02
50,3,3.35,100.63,2009,7,0.06
51,4,3.33,96.42,2009,7,0.045
52,5,3.17,92.38,2009,7,0.035
53,6,2.88,90.73,2009,7,0.005
54,7,2.46,94.09,2009,7,0.0
55,8,2.01,102.78,2009,7,0.0
56,9,1.67,114.58,2009,7,0.01
57,10,1.44,124.63,2009,7,0.025
58,11,1.22,135.16,2009,7,0.03
59,12,1.04,155.24,2009,7,0.01
60,13,1.13,187.75,2009,7,0.0
61,14,1.46,209.04,2009,7,0.01
62,15,1.59,217.3,2009,7,0.0
63,16,1.27,216.69,2009,7,0.0
64,17,0.74,201.76,2009,7,0.0
65,18,0.56,159.25,2009,7,0.005
